iter	RMSE
0	3139.249158
1	3004.908168
2	2871.535262
3	2748.059836
4	2632.161934
5	2518.867773
6	2412.923933
7	2315.715529
8	2224.478573
9	2137.937316
10	2055.784296
11	1974.406757
12	1902.650061
13	1835.2819
14	1771.904532
15	1710.014737
16	1655.394858
17	1600.287336
18	1551.945896
19	1505.774607
20	1466.688944
21	1426.207105
22	1388.536531
23	1351.643621
24	1316.972618
25	1286.096121
26	1256.786497
27	1230.465141
28	1205.628933
29	1182.390283
30	1160.077504
31	1140.576513
32	1123.029025
33	1105.130059
34	1088.921175
35	1075.586168
36	1061.078754
37	1048.381885
38	1035.457701
39	1023.896551
40	1013.473689
41	1003.771273
42	995.1237597
43	986.2272802
44	979.7254278
45	971.690952
46	965.2701811
47	958.4941546
48	953.3705101
49	947.9756733
50	942.4170027
51	937.1904575
52	932.3730234
53	928.8324411
54	925.4341581
55	921.0049192
56	916.9965274
57	914.2123185
58	911.6330821
59	909.2937832
60	906.9871365
61	904.30812
62	901.4755863
63	897.9274554
64	895.322347
65	893.8612863
66	891.033591
67	889.0641856
68	887.224683
69	885.1708222
70	883.5398706
71	882.1064229
72	879.834937
73	878.2114975
74	877.157191
75	876.2642953
76	874.10423
77	872.9453107
78	872.2580996
79	871.2524834
80	869.4602719
81	867.0354073
82	866.2821109
83	864.5452784
84	862.8847034
85	861.277287
86	860.0101447
87	859.4076066
88	858.0657592
89	856.799902
90	855.717489
91	855.1627426
92	854.1025827
93	852.4163213
94	851.7923825
95	850.6847778
96	850.0207523
97	848.5975634
98	847.7299812
99	846.5403148
100	845.5732066
101	845.0811377
102	844.5062462
103	843.0791128
104	842.6414507
105	840.9760557
106	840.2668871
107	839.7434979
108	838.483684
109	837.6585197
110	836.7335561
111	835.9643783
112	834.9143016
113	834.5139668
114	832.9042849
115	832.5715661
116	831.7025775
117	830.2896853
118	829.65743
119	828.4599381
120	828.0153756
121	827.552619
122	826.8387075
123	826.2833189
124	825.8942136
125	825.5811396
126	824.9707237
127	824.2952575
128	823.7015507
129	823.4289762
130	822.2434332
131	821.7917346
132	821.3894285
133	820.981411
134	820.3859179
135	819.6106975
136	818.5918101
137	818.1575354
138	817.8213488
139	817.1111524
140	816.2061158
141	815.720127
142	815.2541464
