iter	Passed	Remaining
0	1	1912
1	4	2145
2	6	2086
3	8	2086
4	10	2151
5	14	2387
6	18	2611
7	21	2617
8	23	2619
9	27	2695
10	30	2718
11	32	2705
12	35	2701
13	38	2680
14	41	2723
15	44	2767
16	47	2747
17	50	2729
18	53	2768
19	59	2935
20	62	2933
21	65	2933
22	68	2919
23	72	2934
24	75	2925
25	77	2903
26	79	2877
27	82	2857
28	85	2857
29	87	2840
30	91	2846
31	93	2841
32	96	2832
33	99	2830
34	104	2869
35	107	2883
36	110	2884
37	113	2872
38	116	2875
39	121	2911
40	125	2940
41	128	2933
42	131	2925
43	134	2925
44	137	2920
45	140	2920
46	143	2910
47	146	2904
48	149	2893
49	152	2893
50	155	2889
51	158	2891
52	161	2885
53	163	2871
54	166	2861
55	169	2855
56	172	2849
57	174	2840
58	177	2830
59	180	2821
60	183	2822
61	186	2822
62	189	2813
63	191	2807
64	194	2798
65	196	2787
66	218	3041
67	220	3028
68	223	3013
69	225	2997
70	227	2982
71	230	2976
72	234	2976
73	238	2986
74	241	2976
75	243	2963
76	246	2958
77	250	2959
78	253	2952
79	256	2945
80	258	2935
81	261	2929
82	264	2927
83	267	2920
84	270	2909
85	273	2901
86	276	2905
87	282	2928
88	286	2928
89	289	2922
90	291	2916
91	295	2914
92	299	2920
93	302	2913
94	305	2910
95	308	2906
96	311	2897
97	313	2889
98	318	2900
99	322	2906
100	326	2901
101	328	2894
102	331	2887
103	334	2879
104	337	2877
105	340	2871
106	343	2864
107	346	2859
108	348	2851
109	351	2844
110	354	2836
111	356	2829
112	360	2828
113	362	2820
114	365	2812
115	367	2803
116	372	2808
117	374	2802
118	377	2793
119	379	2783
120	381	2774
121	384	2765
122	387	2764
123	390	2758
124	392	2749
125	395	2740
126	397	2731
127	400	2726
128	402	2720
129	407	2723
130	410	2722
131	412	2712
132	414	2704
133	417	2699
134	420	2694
135	423	2689
136	425	2681
137	428	2675
138	431	2670
139	434	2666
140	436	2661
141	439	2656
142	442	2650
143	444	2642
144	447	2636
145	450	2636
146	454	2637
147	457	2633
148	460	2627
149	462	2620
150	465	2617
151	468	2614
152	471	2609
153	474	2608
154	477	2602
155	480	2597
156	482	2592
157	485	2586
158	487	2579
159	490	2574
160	492	2568
161	495	2564
162	499	2565
163	502	2563
164	505	2559
165	508	2555
166	511	2549
167	514	2548
168	517	2544
169	520	2539
170	522	2533
171	525	2527
172	528	2525
173	530	2520
174	533	2514
175	535	2509
176	538	2505
177	541	2502
178	545	2503
179	548	2499
180	551	2493
181	554	2490
182	556	2484
183	558	2478
184	561	2474
185	564	2469
186	567	2465
187	569	2459
188	571	2454
189	574	2449
190	578	2448
191	581	2447
192	584	2445
193	588	2445
194	591	2442
195	594	2439
196	598	2438
197	600	2433
198	603	2428
199	606	2424
200	609	2421
201	611	2416
202	614	2412
203	617	2407
204	619	2403
205	622	2399
206	625	2396
207	628	2392
208	631	2391
209	634	2388
210	637	2384
211	640	2381
212	643	2377
